Job Title,Job Experience Required,Location,Functional Area,Industry,Role,Longitude,Latitude,sal
 Digital Media Planner,5 - 10 yrs,Mumbai,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Media Planning Executive/Manager,72.8773928,19.075989899999996,3855
 Online Bidding Executive,2 - 5 yrs,"Pune,Pune","Sales , Retail , Business Development","IT-Software, Software Services",Sales Executive/Officer,73.8544541,18.521428,2639
 Trainee Research/ Research Executive- Hi- Tech Operations,0 - 1 yrs,Gurgaon,"Engineering Design , R&D","Recruitment, Staffing",R&D Executive,77.00270015,28.42826235,2156
 Technical Support,0 - 5 yrs,Mumbai,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Technical Support Engineer,72.8773928,19.075989899999996,4059
 Software Test Engineer -hyderabad,2 - 5 yrs,Hyderabad,IT Software - QA & Testing,"IT-Software, Software Services",Testing Engineer,78.4740613,17.360589,5347
 Opening For Adobe Analytics Specialist,5 - 7 yrs,Pune,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",System Analyst,73.8544541,18.521428,4838
 Sales- Fresher-for Leading Property Consultant,0 - 0 yrs,Bengaluru,"Sales , Retail , Business Development","Real Estate, Property",Sales Executive/Officer,77.590082,12.9767936,2585
 Opportunity For Azure Devops Architect For Hyderabad Location,9 - 14 yrs,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Technical Architect,78.4740613,17.360589,3914
 BDE- PUNE,2 - 7 yrs,Pune,"Sales , Retail , Business Development","IT-Software, Software Services",Sales Executive/Officer,73.8544541,18.521428,2111
 Technical Support/ Product Support,1 - 5 yrs,Bengaluru,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(Technical),77.590082,12.9767936,2359
 Executive Assistant To Chairman,5 - 10 yrs,Mumbai,"Strategy , Management Consulting , Corporate Planning","Courier, Transportation, Freight , Warehousing",Corporate Planning/Strategy Manager,72.8773928,19.075989899999996,5569
 SEO Executive,1 - 6 yrs,"Noida,Delhi,Noida/Greater Noida","IT Software - eCommerce , Internet Technologies","IT-Software, Software Services",Webmaster,77.5545502,28.390017699999998,2167
 Workflow Coordinator,2 - 7 yrs,"Delhi,Delhi","ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Process Flow Analyst,77.22193879999999,28.6517178,2063
 Looking Facebook /social Media Manager For our Digital Marketing Ageny,2 - 4 yrs,Gurgaon,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Social Media Marketing Manager,77.00270015,28.42826235,6979
 Wanted Engineering Fresher For MNC Chennai,0 - 1 yrs,Chennai,Other,Other,Other,80.270186,13.0836939,1513
 Tooling &amp; Sampling,2 - 7 yrs,Faridabad,"Engineering Design , R&D","Industrial Products, Heavy Machinery",Senior Design Engineer,77.3105561,28.4031478,6622
 Account Manager,3 - 7 yrs,Mumbai,"Accounts , Finance , Tax , Company Secretary , Audit","IT-Software, Software Services",Accounts Manager,72.8773928,19.075989899999996,5324
 Magento Developer,2 - 7 yrs,Ahmedabad,"IT Software - eCommerce , Internet Technologies","Textiles, Garments, Accessories",Software Developer,72.5797068,23.0216238,6891
 Looking For Trained Freshers in MS Dynamics CRM- Hyderabad,0 - 3 yrs,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,78.4740613,17.360589,6493
 Business Development / Corporate Sales,0 - 4 yrs,Delhi NCR,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager,77.12121479999999,28.688243800000002,1564
 Business Development Manager (BDM),2 - 5 yrs,"Delhi,Delhi","Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager,77.22193879999999,28.6517178,5439
 QA Executive,2 - 5 yrs,Hyderabad,IT Software - QA & Testing,"Pharma, Biotech, Clinical Research",Quality Assurance/Quality Control Executive,78.4740613,17.360589,5434
 Back End Java Developer - Restful Services/soap,6 - 8 yrs,Bengaluru,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",Software Developer,77.590082,12.9767936,4114
 Product Engineer,4 - 9 yrs,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,77.590082,12.9767936,4897
 Opening For Articulate tool Developer - Articulate / Captivate)chennai,3 - 5 yrs,Chennai,"IT Software - Application Programming , Maintenance","Animation, Gaming",Graphic/Web Designer,80.270186,13.0836939,4626
 Urgent Hiring for Area Sales Manager,7 - 12 yrs,"Ambala,Gurgaon","Sales , Retail , Business Development","FMCG, Foods, Beverage",Area Sales Manager,76.770421,30.3843674,1724
 Software Engineer - C++ Development - Ooad/oops,4 - 9 yrs,Chennai,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,80.270186,13.0836939,4562
 Linux Administrator Lead,5 - 10 yrs,"Gurgaon,Gurgaon","IT Software - Network Administration , Security","IT-Software, Software Services",System Administrator,77.00270015,28.42826235,5425
 Hiring for Tech Pm/scrum Master for Hyderabad Location,8 - 10 yrs,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Project Manager-IT/Software,78.4740613,17.360589,5286
 US Based Financial Company Looking For Java API Engineers For HYD,6 - 8 yrs,Hyderabad,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,78.4740613,17.360589,5198
 Strong Partner Ecosystem,2 - 7 yrs,Noida,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Project Lead,77.3271074,28.5707841,4494
 Wordpress Web Developer,3 - 6 yrs,Bengaluru,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",Software Developer,77.590082,12.9767936,4689
 Senior Executive- Contract Logistics- Bom WP-A,2 - 5 yrs,Mumbai,Purchase / Logistics / Supply Chain,"Courier, Transportation, Freight , Warehousing",Logistics Executive,72.8773928,19.075989899999996,3815
 Accounts Manager,2 - 3 yrs,Mumbai,"Accounts , Finance , Tax , Company Secretary , Audit","Security, Law Enforcement",Accounts Executive/Accountant,72.8773928,19.075989899999996,3252
 Technical Sales Executive with fixed pay & lucrative incentives/UK Inb,0 - 3 yrs,Kolkata,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical),88.35769124,22.5414185,3087
 nutanix sme ,15 - 20 yrs,Bengaluru,"IT Hardware , Technical Support , Telecom Engineering","IT-Software, Software Services",Technical Support Manager,77.590082,12.9767936,1965
 System Architect - 3g/4g Wireless Network Architecture & Migration,10 - 16 yrs,Mumbai,"IT Software - Network Administration , Security","IT-Software, Software Services",Technical Architect,72.8773928,19.075989899999996,3883
"Excellent Opportunity For ” Linux Device Driver ” ,for Hyderabad and Ban", 2 - 7 Years," Hyderabad, Bengaluru","IT Software - Application Programming , Maintenance",IT-Software / Software Services,Software Developer,77.63703840000001,13.023330999999999,5273
 Java Developer,6 - 8 yrs,Pune,Other,Other,Other,73.8544541,18.521428,4087
 Regional Representative,0 - 3 yrs,Noida,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager,77.3271074,28.5707841,4615
 Hiring For Record To Report,1 - 4 yrs,"Gurgaon,Noida","ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical),77.00270015,28.42826235,6666
 Product & Regional Sales Manager,3 - 6 yrs,Mumbai,"Sales , Retail , Business Development","Strategy, Management Consulting Firms",Regional Manager,72.8773928,19.075989899999996,6397
 Senior Manager/associate Director - Mandarin,10 - 15 yrs,"Delhi,Gurgaon","Sales , Retail , Business Development","Internet, Ecommerce",Head / VP/ GM/ National Manager After Sales,77.02225240000001,28.5061017,3009
 ODI Developer/lead ODI Developer - RACI,5 - 10 yrs,Mumbai,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",Software Developer,72.8773928,19.075989899999996,4707
